parid,long,lat
0037B00088000000,-79.84109822,40.43328604
0125F00235000001,-79.89287211,40.45035717
0125F00235000001,-79.89287211,40.45035717
0125F00235000004,-79.8926818,40.4499642
0125F00235000004,-79.8926818,40.4499642
0125F00235000A00,-79.89263013,40.45012321
0125F00235000A00,-79.89263013,40.45012321
0127H00100000001,-79.90376977,40.43270217
0129K00100000500,-79.89957534,40.41777305
0130H00200000900,-79.8966309,40.41491084
0135P00281000A00,-79.87830309,40.41609044
0172D00010000000,-79.88527361,40.47756112
0172D00020000000,-79.88036944,40.48080264
0172D00085000000,-79.88186226,40.4815209
0172D00125000000,-79.88127112,40.48196595
0172D00395000000,-79.85893898,40.48685607
0172D00395000003,-79.85492165,40.48601434
0172L00005000000,-79.88721874,40.47475538
0172L00007000000,-79.88726932,40.47469606
0172L00015000000,-79.88750247,40.47487959
0172L00018000000,-79.88736755,40.47502706
0172L00021000000,-79.88724869,40.47517946
0172L00024000000,-79.88710181,40.47540741
0172L00029000000,-79.88678202,40.47559246
0172M00008000000,-79.88319823,40.47471594
0172M00009000000,-79.88334075,40.47464327
0172M00010000000,-79.88342772,40.47459245
0172M00011000000,-79.88351147,40.47454248
0172M00024000000,-79.88417355,40.47477125
0172M00026000000,-79.88403702,40.47483518
0172M00032000000,-79.88389088,40.47490769
0172M00034000000,-79.88379296,40.47494329
0172M00037000000,-79.88372007,40.47498161
0172M00040000000,-79.88362268,40.47501876
0172M00043000000,-79.88350606,40.47505393
0172M00045000000,-79.88310207,40.4751656
0172M00053000000,-79.88282004,40.47494067
0172M00057000000,-79.88286798,40.4752524
0172M00072000000,-79.88335938,40.47533885
0172M00076000000,-79.88375412,40.47528643
0172M00086000000,-79.88406077,40.47517787
0172M00090000000,-79.88433889,40.47504746
0172M00095000000,-79.88451054,40.47496923
0172M00099000000,-79.8846518,40.47489957
0172M00100000000,-79.88694205,40.47509361
0172M00103000000,-79.88478761,40.47483291
0172M00107000000,-79.88493272,40.47476329
0172M00125000000,-79.88364066,40.47580723
0172M00155000000,-79.88487399,40.47550792
0172M00157000000,-79.88477569,40.47553464
0172M00159000000,-79.8844828,40.47569274
0172M00172000000,-79.88414309,40.47589109
0172M00272000000,-79.88622232,40.4750101
0172M00274000000,-79.88633141,40.47493305
0172M00276000000,-79.88645129,40.4748508
0172M00280000000,-79.88651304,40.4747248
0172M00284000000,-79.88662111,40.47461459
0172M00298000000,-79.88662235,40.47576344
0172M00304000000,-79.88646362,40.47590336
0172M00310000000,-79.88585236,40.47552393
0172M00320000000,-79.88672982,40.47634916
0172M00325000000,-79.88657954,40.47654962
0172M00337000000,-79.88517822,40.47650886
0172R00048000000,-79.88776744,40.47214993
0172R00049000000,-79.8876389,40.47215981
0172R00051000000,-79.88750612,40.4721745
0172R00052000000,-79.88740853,40.4721823
0172R00053000000,-79.88728785,40.4722062
0172R00054000000,-79.88713322,40.47224931
0172R00055000000,-79.8869639,40.47229557
0172R00057000000,-79.88701704,40.47267643
0172R00058000000,-79.88709897,40.47265023
0172R00059000000,-79.88719153,40.4726318
0172R00060000000,-79.88727898,40.47260652
0172R00061000000,-79.88736125,40.47258354
0172R00062000000,-79.88744202,40.47255066
0172R00064000000,-79.88756708,40.47253831
0172R00065000000,-79.88769315,40.47252963
0172R00066000000,-79.88783018,40.4725208
0172R00082000000,-79.88789094,40.47283816
0172R00085000000,-79.88770813,40.47285559
0172R00086000000,-79.88756356,40.4728693
0172R00089000000,-79.88741918,40.47290878
0172R00090000000,-79.88732211,40.47293393
0172R00091000000,-79.88718813,40.47297111
0172R00093000000,-79.88697194,40.47303037
0172R00101000000,-79.88732528,40.47338129
0172R00102000000,-79.88743907,40.47333064
0172R00103000000,-79.88751844,40.47330636
0172R00106000000,-79.887645,40.4732731
0172R00114000000,-79.88810411,40.47322266
0172R00127000000,-79.88775714,40.47360039
0172R00129000000,-79.88766802,40.47364794
0172R00131000000,-79.88764843,40.47377163
0172R00132000000,-79.88688644,40.47438712
0172R00134000000,-79.88676393,40.47448775
0172R00135000000,-79.88732067,40.47464055
0172R00136000000,-79.88737527,40.47457517
0172R00138000000,-79.88748106,40.47445453
0172R00139000000,-79.88758205,40.47434077
0172S00007000000,-79.88574456,40.47234692
0172S00009000000,-79.88564049,40.47228193
0172S00012000000,-79.88496988,40.47213713
0172S00014000000,-79.88503328,40.47226147
0172S00016000000,-79.88514834,40.47236917
0172S00017000000,-79.88524459,40.4724433
0172S00018000000,-79.88531385,40.47248613
0172S00021000000,-79.88546634,40.47254001
0172S00023000000,-79.88566676,40.47257891
0172S00024000000,-79.88578522,40.47258716
0172S00026000000,-79.88589956,40.47256984
0172S00027000000,-79.88615721,40.47250761
0172S00028000000,-79.88623731,40.47248751
0172S00030000000,-79.88636585,40.47245265
0172S00031000000,-79.88649312,40.47241791
0172S00034000000,-79.88666173,40.4723741
0172S00035000000,-79.88683579,40.47232836
0172S00038000000,-79.88693049,40.47269338
0172S00039000000,-79.88680311,40.47272849
0172S00041000000,-79.88666934,40.47275804
0172S00042000000,-79.88641833,40.47282422
0172S00047000000,-79.88608032,40.47291459
0172S00048000000,-79.88593581,40.47294819
0172S00049000000,-79.88573638,40.47298446
0172S00051000000,-79.88556707,40.47300449
0172S00052000000,-79.88539876,40.47301278
0172S00053000000,-79.88525849,40.47295241
0172S00054000000,-79.88517048,40.47289221
0172S00055000000,-79.88504488,40.47281776
0172S00057000000,-79.88482105,40.47265054
0172S00061000000,-79.88459381,40.47245068
0172S00064000000,-79.88453952,40.47227085
0172S00075000000,-79.88544835,40.47451259
0172S00111000000,-79.88671692,40.47310091
0172S00114000000,-79.88654845,40.47314755
0172S00115000000,-79.886429,40.47318159
0172S00116000000,-79.88624596,40.47324187
0172S00117000000,-79.88612185,40.47327451
0172S00119000000,-79.8859993,40.47331258
0172S00120000000,-79.88587593,40.47334831
0172S00122000000,-79.88575017,40.47338258
0172S00123000000,-79.88566219,40.47340725
0172S00124000000,-79.88555345,40.47343335
0172S00126000000,-79.88541255,40.47348569
0172S00129000000,-79.88528911,40.47363012
0172S00131000000,-79.8852264,40.47356359
0172S00132000000,-79.88518894,40.47344247
0172S00134000000,-79.88508399,40.47335683
0172S00136000000,-79.88499475,40.47327634
0172S00138000000,-79.884915,40.473212
0172S00139000000,-79.88481846,40.47313901
0172S00141000000,-79.88473409,40.47306068
0172S00142000000,-79.88466299,40.47301189
0172S00143000000,-79.88454089,40.47291089
0172S00146000000,-79.88438908,40.47278453
0172S00148000000,-79.8842581,40.472661
0172S00153000000,-79.88389973,40.47250312
0172S00155000000,-79.88398002,40.47238178
0172S00157000000,-79.8840722,40.47226251
0172S00162000000,-79.8835837,40.4722585
0172S00189000000,-79.88318601,40.47259169
0172S00221000000,-79.88379594,40.47307041
0172S00243000000,-79.88384987,40.47356943
0172S00253000000,-79.88168974,40.47152864
0172S00262000000,-79.88288387,40.47433735
0172S00264000000,-79.88297772,40.4745312
0172S00266000000,-79.88311808,40.47435447
0172S00272000000,-79.88341276,40.47421252
0172S00278000000,-79.88444769,40.47344551
0172S00280000000,-79.88461789,40.4735603
0172S00281000000,-79.88467841,40.47360397
0172S00282000000,-79.88472437,40.4736591
0172S00283000000,-79.88478264,40.47370874
0172S00284000000,-79.88482241,40.4737586
0172S00286000000,-79.88458104,40.47380544
0172S00287000000,-79.8844558,40.47381447
0172S00288000000,-79.88436441,40.4738609
0172S00289000000,-79.88425809,40.47387472
0172S00290000000,-79.88416238,40.47389944
0172S00309000000,-79.88365997,40.47445358
0172S00311000000,-79.88383058,40.47435165
0172S00313000000,-79.88394183,40.47428616
0172S00315000000,-79.88402925,40.47423875
0172S00318000000,-79.88419026,40.47420659
0172S00319000000,-79.88424569,40.47407791
0172S00321000000,-79.8844176,40.47417786
0172S00323000000,-79.8846187,40.47410492
0172S00325000000,-79.88479432,40.47412152
0172S00329000000,-79.88489875,40.4738747
0172S00331000000,-79.88499728,40.4737387
0172S00334000000,-79.88515651,40.47385175
0172S00339000000,-79.88698282,40.47381115
0172S00345000000,-79.88622805,40.47378998
0172S00347000000,-79.88615474,40.47414471
0172S00352000000,-79.88552373,40.47414459
0172S00354000000,-79.88536183,40.47421199
0172S00355000000,-79.88518414,40.47429025
0172S00358000000,-79.88497343,40.4744004
0172S00360000000,-79.88483447,40.47446869
0172S00361000000,-79.88473161,40.47450876
0172S00362000000,-79.88464293,40.47455755
0172S00363000000,-79.88454713,40.47460004
0172S00364000000,-79.88445182,40.47464121
0172S00365000000,-79.88436679,40.47468447
0172S00366000000,-79.8842714,40.47472332
0172S00372000000,-79.88548512,40.47448927
0173C00185000000,-79.88846695,40.4701067
0173C00188000000,-79.88836195,40.47022425
0173C00189000000,-79.88831082,40.47028013
0173C00192000000,-79.88820758,40.4703896
0173C00262000000,-79.88813953,40.4706346
0173C00263000000,-79.88799754,40.47055413
0173C00266000000,-79.88780592,40.47091802
0173C00267000000,-79.88793898,40.47099006
0173C00269000000,-79.88804541,40.47106539
0173C00270000000,-79.88817295,40.47111599
0173C00305000000,-79.88809837,40.4713754
0173C00306000000,-79.88801134,40.47136018
0173C00318000000,-79.88789234,40.47214035
0173C00331000000,-79.88793427,40.47178283
0173C00331000100,-79.88811825,40.47175272
0173C00332000000,-79.88773539,40.47179829
0173C00334000000,-79.88746687,40.47182194
0173C00337000000,-79.88723976,40.47184419
0173C00339000000,-79.8870738,40.47189269
0173C00340000000,-79.88794092,40.47135165
0173C00341000000,-79.88786866,40.47134086
0173C00342000000,-79.88777041,40.47143084
0173C00343000000,-79.8876954,40.47139451
0173C00344000000,-79.88762509,40.47131546
0173C00345000000,-79.88766267,40.47122784
0173C00346000000,-79.88768689,40.47115015
0173C00348000000,-79.88770753,40.47103965
0173C00349000000,-79.88765819,40.47087507
0173C00351000000,-79.88761666,40.47076859
0173C00352000000,-79.88720549,40.47129108
0173C00355000000,-79.8870018,40.47137922
0173C00363000000,-79.88727843,40.4708959
0173C00365000000,-79.88709577,40.47098112
0173C00367000000,-79.88698217,40.47055917
0173C00371000000,-79.88734268,40.47057038
0173C00373000000,-79.88729566,40.47047935
0173C00374000000,-79.88723173,40.47034542
0173C00376000000,-79.88718175,40.47024721
0173C00377000000,-79.88714346,40.47018155
0173C00378000000,-79.88700272,40.47014686
0173C00379000000,-79.88717102,40.47009782
0173C00380000000,-79.88708092,40.47004839
0173C00381000000,-79.88704993,40.46998735
0173C00382000000,-79.88702026,40.46992321
0173C00383000000,-79.88698824,40.46985792
0173C00387000000,-79.88752856,40.46980985
0173C00389000000,-79.88752032,40.470005
0173C00390000000,-79.8877428,40.47029876
0173C00393000000,-79.88786637,40.47014539
0173C00395000000,-79.88797183,40.47003278
0173C00396000000,-79.88805046,40.46994714
0173C00397000000,-79.88810535,40.46989204
0173D00007000000,-79.8868138,40.47061184
0173D00011000000,-79.88678477,40.4703671
0173D00014000000,-79.8867297,40.47023964
0173D00015000000,-79.88668107,40.47014641
0173D00017000000,-79.88660067,40.46998146
0173D00020000000,-79.88644123,40.46966499
0173D00025000000,-79.88597163,40.46982618
0173D00027000000,-79.8860372,40.46995733
0173D00028000000,-79.88608095,40.47005649
0173D00029000000,-79.8861157,40.47011811
0173D00032000000,-79.88619114,40.47023443
0173D00034000000,-79.88584633,40.47022016
0173D00036000000,-79.88565746,40.47011779
0173D00040000000,-79.88555837,40.46988653
0173D00044000000,-79.88542704,40.46975906
0173D00046000000,-79.8852953,40.46972541
0173D00047000000,-79.88516166,40.4696791
0173D00053000000,-79.88452642,40.4698335
0173D00054000000,-79.88464978,40.46988443
0173D00055000000,-79.88472309,40.46991574
0173D00056000000,-79.88480244,40.46994474
0173D00058000000,-79.88492754,40.47000378
0173D00060000000,-79.8850755,40.47004698
0173D00061000000,-79.88513908,40.47010797
0173D00064000000,-79.88518464,40.47019754
0173D00065000000,-79.88523048,40.47028353
0173D00067000000,-79.88479086,40.47034019
0173D00070000000,-79.88466998,40.47029217
0173D00071000000,-79.88455038,40.47024653
0173D00073000000,-79.88435741,40.47017124
0173D00077000000,-79.88416018,40.47009325
0173D00079000000,-79.88403402,40.47005759
0173D00081000000,-79.88396637,40.47000504
0173D00083000000,-79.88383148,40.46996645
0173D00085000000,-79.88367513,40.4699054
0173D00087000000,-79.88355756,40.46985938
0173D00088000000,-79.88343649,40.46981036
0173D00090000000,-79.88329093,40.46974616
0173D00093000000,-79.88278882,40.4699854
0173D00094000000,-79.88287001,40.4700186
0173D00095000000,-79.88294759,40.47004673
0173D00098000000,-79.88311241,40.47011244
0173D00101000000,-79.88332407,40.47019359
0173D00103000000,-79.88348611,40.47026762
0173D00106000000,-79.88361632,40.47031739
0173D00108000000,-79.88372641,40.47036818
0173D00109000000,-79.88383404,40.47040465
0173D00110000000,-79.88391833,40.47043122
0173D00111000000,-79.88400326,40.47046864
0173D00114000000,-79.8841868,40.47049193
0173D00117000000,-79.8837819,40.47060101
0173D00119000000,-79.88362007,40.47059973
0173D00121000000,-79.88344584,40.47070727
0173D00134000000,-79.88276149,40.47153502
0173D00138000000,-79.88305331,40.47165172
0173D00141000000,-79.88317945,40.47143105
0173D00142000000,-79.88323631,40.47132561
0173D00146000000,-79.88332084,40.47119815
0173D00148000000,-79.88346242,40.47102373
0173D00151000000,-79.88352786,40.47095896
0173D00153000000,-79.88367722,40.47088988
0173D00155000000,-79.88431467,40.47069636
0173D00157000000,-79.88414175,40.47078682
0173D00159000000,-79.88403072,40.47089216
0173D00161000000,-79.88393863,40.47101166
0173D00163000000,-79.8838488,40.47113032
0173D00165000000,-79.88375589,40.4712492
0173D00167000000,-79.88366392,40.47136999
0173D00169000000,-79.88357046,40.47148879
0173D00171000000,-79.88347804,40.47160849
0173D00173000000,-79.88341041,40.47169588
0173D00174000000,-79.88337375,40.47175094
0173D00176000000,-79.88332763,40.47180089
0173D00178000000,-79.88328155,40.47186265
0173D00180000000,-79.88322644,40.47196185
0173D00185000000,-79.88364695,40.47214364
0173D00188000000,-79.8837579,40.47199759
0173D00189000000,-79.88384733,40.47188491
0173D00192000000,-79.88391337,40.4717935
0173D00194000000,-79.88400756,40.47167367
0173D00196000000,-79.88409667,40.47155375
0173D00197000000,-79.88416401,40.47146512
0173D00198000000,-79.88420566,40.47140906
0173D00199000000,-79.88425528,40.47134805
0173D00201000000,-79.88430403,40.47128011
0173D00204000000,-79.88439803,40.47115967
0173D00205000000,-79.88448934,40.47104098
0173D00207000000,-79.88457015,40.47096101
0173D00212000000,-79.88470711,40.47079492
0173D00214000000,-79.88487835,40.47073967
0173D00216000000,-79.88495917,40.47070948
0173D00220000000,-79.88508495,40.47067553
0173D00222000000,-79.88521206,40.4706366
0173D00224000000,-79.88531086,40.4706066
0173D00229000000,-79.88548071,40.47056721
0173D00231000000,-79.8856506,40.47053614
0173D00233000000,-79.88574753,40.47051471
0173D00235000000,-79.88585663,40.4705097
0173D00237000000,-79.88627396,40.47053275
0173D00239000000,-79.8862693,40.47063341
0173D00241000000,-79.88617876,40.47073931
0173D00245000000,-79.88606108,40.47082796
0173D00247000000,-79.88593523,40.47086967
0173D00251000000,-79.88576735,40.47091835
0173D00253000000,-79.88564023,40.47095557
0173D00255000000,-79.88556563,40.47098568
0173D00257000000,-79.88544051,40.47102078
0173D00260000000,-79.88531178,40.47105684
0173D00261000000,-79.88522717,40.47109369
0173D00263000000,-79.88507671,40.47114129
0173D00266000000,-79.88494206,40.47120619
0173D00268000000,-79.88486643,40.4712647
0173D00270000000,-79.88480225,40.47132894
0173D00272000000,-79.88473808,40.47139342
0173D00274000000,-79.88467788,40.47146392
