"EventDetailID","EventID","ViolationID","Resolved?","DateResolved","DetailAttach","IncludeCitation"
1,1,69,1,4/10/2015 0:00:00,"1539-7 Williamsburg.pdf;DSCF0028.JPG;DSCF0029.JPG",0
2,1,70,0,,,0
4,2,100,1,,"DSCF0020.JPG",1
5,2,101,1,,,1
6,2,131,1,,,1
7,3,92,1,4/13/2015 0:00:00,"DSCF0004.JPG",1
8,4,92,1,,"DSCF0005.JPG",1
9,5,86,1,,"WIN_20150319_122710.JPG;WIN_20150319_122727.JPG;WIN_20150319_122744.JPG;WIN_20150319_122750.JPG",1
10,5,100,1,,,1
11,5,101,1,,,1
12,5,102,1,,,1
13,6,130,1,4/24/2015 0:00:00,"136 Thornberry POD.pdf;DSCF0021.JPG",0
14,7,130,1,6/9/2015 0:00:00,"Elmhill Hosanna House.pdf;WIN_20150318_100029.JPG;WIN_20150318_100036.JPG;WIN_20150318_100045.JPG;WIN_20150318_100058.JPG",0
15,8,130,1,3/27/2015 0:00:00,,0
16,9,130,0,,,0
17,10,65,0,,"DSCF0026.JPG;DSCF0027.JPG",1
18,11,65,1,5/19/2015 0:00:00,"DSCF0030.JPG",1
19,12,91,0,,"3576 Ridgewood Action Form.pdf",1
20,12,113,0,,,0
21,13,86,1,4/2/2015 0:00:00,,1
22,13,100,1,4/2/2015 0:00:00,,1
23,13,101,1,4/2/2015 0:00:00,,1
24,13,102,0,,,1
25,14,86,1,4/6/2015 0:00:00,"3607 Ridgewood Action Form.pdf;3607 Ridgewood Tenant.pdf;3607 Ridgewood.pdf;DSCF0038.JPG;DSCF0039.JPG",1
26,15,130,1,3/31/2015 0:00:00,"DSCF0049.JPG;DSCF0050.JPG",0
27,16,130,0,,"DSCF0058.JPG;DSCF0059.JPG",0
28,17,130,1,3/31/2015 0:00:00,"DSCF0024.JPG;DSCF0025.JPG",0
30,17,69,1,3/31/2015 0:00:00,,0
31,17,70,1,3/31/2015 0:00:00,,0
32,18,130,1,6/9/2015 0:00:00,"DSCF0056.JPG;DSCF0057.JPG",0
33,19,130,0,,"DSCF0054.JPG;DSCF0055.JPG",0
34,20,130,0,,"DSCF0051.JPG;DSCF0052.JPG;DSCF0053.JPG",0
35,21,130,1,6/30/2015 0:00:00,,0
36,21,69,1,6/30/2015 0:00:00,,0
37,22,130,1,7/7/2015 0:00:00,"DSCF0060.JPG",0
38,22,65,1,7/7/2015 0:00:00,,1
39,23,61,1,4/21/2015 0:00:00,"DSCF0061.JPG;DSCF0062.JPG;DSCF0063.JPG;DSCF0064.JPG",1
40,23,69,1,4/21/2015 0:00:00,,1
41,23,70,1,4/24/2015 0:00:00,,1
42,23,68,1,4/21/2015 0:00:00,,1
44,24,91,1,4/23/2015 0:00:00,"DSCF0074.JPG;DSCF0075.JPG;DSCF0076.JPG;DSCF0077.JPG",1
45,25,91,1,5/6/2015 0:00:00,"DSCF0081.JPG;DSCF0082.JPG",1
46,26,100,1,4/9/2015 0:00:00,"doc00900320150402150948.pdf;DSCF0083.JPG",1
47,26,101,1,4/9/2015 0:00:00,,1
48,26,102,1,4/9/2015 0:00:00,,1
50,27,86,1,4/8/2015 0:00:00,"893 Larimer Tenant.pdf;doc00900020150402150911.pdf;DSCF0065.JPG",1
51,27,100,1,4/8/2015 0:00:00,,1
52,27,101,1,4/8/2015 0:00:00,,1
53,27,102,0,,,1
54,28,86,1,4/8/2015 0:00:00,"611 LArimer Tenant.pdf;DSCF0036.JPG;DSCF0037.JPG;DSCF0066.JPG;DSCF0067.JPG",1
55,28,100,1,4/8/2015 0:00:00,,1
56,29,113,0,,"doc00900120150402150921.pdf;doc00900420150402151038.pdf;DSCF0068.JPG;DSCF0069.JPG;DSCF0070.JPG;DSCF0071.JPG;DSCF0072.JPG;DSCF0073.JPG",0
57,30,86,1,4/8/2015 0:00:00,"DSCF0085.JPG;DSCF0086.JPG",1
58,30,100,1,4/8/2015 0:00:00,,1
59,31,86,1,4/27/2015 0:00:00,"DSCF0048.JPG",1
60,31,90,1,4/27/2015 0:00:00,,1
61,31,91,1,8/24/2015 0:00:00,,1
62,32,134,0,,"DSCF0006.JPG;DSCF0007.JPG;DSCF0088.JPG",1
63,33,65,1,4/10/2015 0:00:00,"DSCF0091.JPG",1
