"ViolationID","municode_1","Violation","ViolationLetter","Active"
55,816,"§108.1 Unsafe Structure, General","When a structure or equipment is found by the code official to be unsafe, or when a structure is found unfit for human occupancy, or is found unlawful, such structure shall be condemned pursuant to the provisions of this code.",1
56,816,"§108.1.1 Unsafe Structures","An unsafe structure is one that is found to be dangerous to the life, health, property or safety of the public or the occupants of the structure by not providing minimum safeguards to protect or warn occupants in the event of fire, or because such structure contains unsafe equipment or is so damaged, decayed, dilapidated, structurally unsafe or of such faulty construction or unstable foundation, that partial or complete collapse is possible.",1
58,816,"§108.1.3 Structure Unfit for Human Occupancy","A structure is unfit for human occupancy whenever the code official finds that such structure is unsafe, unlawful or, because of the degree to which the structure is in disrepair or lacks maintenance, is insanitary, vermin or rat infested, contains filth or contamination, or lacks ventilation, illumination, sanitary or heating facilities or other essential equipment required by this code, or because the location of the structure constitutes a hazard to the occupants of the structure or to the public.",1
59,816,"§301.2 Responsibility","The owner of the premises shall maintain the structures and the exterior of the property in compliance with these requirements, except as otherwise provided for in this code.  A person shall not occupy as owner-occupant or permit another person to occupy premises which are not in a sanitary and safe condition and which do not comply with the requirements of this chapter.  Occupants of a dwelling unit, rooming unit or housekeeping unit are responsible for keeping in a clean, sanitary and safe condition that part of the dwelling unit, rooming unit, housekeeping unit or premises which they occupy and control.",1
60,816,"§301.3 Vacant Structures and Land","All vacant structures and premises thereof or vacant land shall be maintained in a clean, safe, secure and sanitary condition as provided herein so as not to cause a blighting problem or adversely affect the public health or safety.",1
61,816,"§302.1 Sanitation","All exterior property and premises shall be maintained in a clean, safe and sanitary condition.  The occupant shall keep that part of the exterior property which such occupant occupies or controls in a clean and sanitary condition.",1
62,816,"§302.3 Sidewalks and Driveways","All sidewalks, walkways, stairs, driveways, parking spaces and similar areas shall be kept in proper state of repair, and maintained free from hazardous conditions.",1
63,816,"§302.4 Weeds","All premises and exterior property shall be maintained free from weeds or plant growth in excess of six inches.  All noxious weeds shall be prohibited.  Weeds shall be defined as all grasses, annual plants and vegetation, other than trees or shrubs provided; however, this term shall not include cultivated flowers and gardens.",1
64,816,"§302.7 Accessory Structures","All accessory structures, including detached garages, fences and walls, shall be maintained structurally sound and in good repair.",1
65,816,"§302.8 Motor Vehicles","Except as provided for in other regulations, no inoperative or unlicensed motor vehicle shall be parked, kept or stored on any premises, and no vehicle shall at any time be in a state of major disassembly, disrepair, or in the process of being stripped or dismantled.  Painting of vehicles is prohibited unless conducted inside an approved spray booth.  Exception: A vehicle of any type is permitted to undergo major overhaul, including body work, provided that such work is performed inside a structure or similarly enclosed area designed and approved for such purposes.",1
66,816,"§303.1 Swimming Pools","Swimming pools shall be maintained in a clean and sanitary condition, and in good repair.",1
67,816,"§303.2 Enclosures","Private swimming pools, hot tubs and spas, containing water more than 24 inches in depth shall be completely surrounded by a fence or barrier at least 48 inches in height above the finished ground level measured on the side of the barrier away from the pool.  Gates and doors in such barriers shall be self-closing and self-latching.  Where the self-latching device is a minimum of 54 inches above the bottom of the gate, the release mechanism shall be located on the pool side of the gate.  Self-closing and self-latching gates shall be maintained such that the gate will positively close and latch when released from an open position of six inches from the gatepost.  No existing pool enclosure shall be removed, replaced or changed in a manner that reduces its effectiveness as a safety barrier.  Exception: Spas or hot tubs with a safety cover that complies with ASTM F 1346 shall be exempt from the provisions of this section.",1
68,816,"§304.3 Premises Identification","Buildings shall have approved address numbers placed in a position to be plainly legible and visible from the street or road fronting the property.  These numbers shall contrast with their background.  Address numbers shall be Arabic numerals or alphabet letters.  Numbers shall be a minimum of 4 inches in height with a minimum stroke width of 0.5 inch.",1
69,816,"§308.1 Accumulation of Rubbish or Garbage","All exterior property and premises, and the interior of every structure, shall be free from any accumulation of rubbish or garbage.",1
70,816,"§308.2 Disposal of Rubbish","Every occupant of a structure shall dispose of all rubbish in a clean and sanitary manner by placing such rubbish in approved containers.",1
71,816,"§308.2.1 Rubbish Storage Facilities","The owner of every occupied premises shall supply approved covered containers for rubbish, and the owner of the premises shall be responsible for the removal of rubbish.",1
72,816,"§308.3 Disposal of Garbage","Every occupant of a structure shall dispose of garbage in a clean and sanitary manner by placing such garbage in an approved garbage disposal facility or approved garbage containers",1
73,816,"§308.3.1 Garbage Facilities","The owner of every dwelling shall supply one of the following; an approved mechanical food waste grinder in each dwelling unit; an approved incinerator unit in the structure available to the occupants in each dwelling unit; or an approved leakproof, covered, outside garbage container.",1
74,816,"§308.3.2 Containers","The operator of every establishment producing garbage shall provide, and at all times cause to be utilized, approved leakproof containers provided with close-fitting covers for the storage of such materials until removed from the premises for disposal.",1
75,816,"§309.1 Infestation","All structures shall be kept free from insect and rodent infestation.  All structures in which insects or rodents are found shall be promptly exterminated by approved processes that will not be injurious to human health.  After pest elimination, proper precautions shall be taken to prevent reinfestation.",1
