PropertyID,ParID,UseDescription,Rental?,RentalPermit?,OwnerID,AgentID,Zoning,OpenIssueType,OpenIssueNote,Image,PropertyType,ResidenceType,VacantLand?,OccupancyPermit?,OccupancyPermitDate,RentalPermitDate,PropertyStatus,StatusDate,Note,SewerDistrict,UCCPermit?,UCCPermitDate,ZoningApproval?,ZoningApprovalDate,PassDyeTest?,PassDyeTestDate,CountyHyperlink,municode_1
11964,0374S00108000000,Rowhouse,1,0,963,259,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374S00108000000,953
11965,0453K00138000000,Single family                 ,0,0,1216,309,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453K00138000000,953
11966,0297D00212000000,Single family                 ,0,0,2520,448,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0297D00212000000,816
11967,0297D00228000000,Single family                 ,0,0,1056,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0297D00228000000,816
11968,0454L00228000000,Municipal government          ,0,0,4058,18,,,,,Government                    ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454L00228000000,953
11969,0370N00040000001,Commercial/utility            ,0,0,3136,708,,,,,Utilities                     ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0370N00040000001,816
11970,0298B00166000000,Single family                 ,0,0,3163,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0298B00166000000,816
11971,0297M0019500T100,Comm aux building             ,0,0,129,215,,,,,Commercial                    ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0297M0019500T100,816
11972,0541G00262000100,Single family                 ,0,0,3813,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541G00262000100,953
11973,0542B00060000000,Single family                 ,0,0,408,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0542B00060000000,953
11974,0372G00034000000,Single family                 ,0,0,1617,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372G00034000000,816
11975,0371D00225000000,Single family                 ,0,0,174,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371D00225000000,816
11976,0371D00225000000,Single family                 ,0,0,174,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371D00225000000,816
11977,0371B00215000000,Single family                 ,0,0,1315,417,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371B00215000000,816
11978,0541G00288000000,Single family                 ,0,0,2882,,,,,,Residential                   ,,0,0,,,,,"Raj 412-557-2499, 412-760-7953, 412-824-2758",,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541G00288000000,953
11979,0541G00284000000,"Churches, public worship      ",0,0,3074,,,,,,Commercial                    ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541G00284000000,953
11980,0541G00284000001,"Churches, public worship      ",0,0,3074,,,,,,Commercial                    ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541G00284000001,953
11981,0542A00300000000,Vacant commercial land        ,0,0,2648,629,,,,,Commercial                    ,,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0542A00300000000,953
11982,0372S00144000000,Vacant land                   ,0,0,2919,,,,,,Residential                   ,,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372S00144000000,953
11983,0455B00210000000,Single family                 ,1,0,4072,901,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0455B00210000000,953
11984,0453E00010000000,Single family                 ,0,0,3375,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453E00010000000,953
11985,0542B00200000000,Single family                 ,0,0,1521,301,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0542B00200000000,953
11986,0374R00250000000,Single family                 ,0,0,2216,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374R00250000000,953
11987,0374R00258000000,Vacant land                   ,1,0,3805,778,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374R00258000000,953
11988,0374M00070000000,Vacant land                   ,1,0,1750,259,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374M00070000000,953
11989,0374H00234000000,Single family                 ,1,0,1070,16,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374H00234000000,953
11990,0374R00243000000,Single family                 ,1,0,224,234,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374R00243000000,953
11991,0374R00260000000,Vacant land                   ,1,0,1797,51,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374R00260000000,953
11992,0454F00072000000,Single family                 ,0,0,1680,487,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454F00072000000,953
11993,0454G00060000000,Single family                 ,0,0,512,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454G00060000000,953
11994,0374L00322000000,Vacant land                   ,1,0,3257,,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0374L00322000000,953
11995,0453P00030000000,Single family                 ,0,0,3170,301,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453P00030000000,816
11996,0372A00256000000,Single family                 ,0,0,1946,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372A00256000000,816
11997,0454E00046000000,Single family                 ,0,0,3735,293,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454E00046000000,953
11998,0372E00224000000,Single family                 ,0,0,2412,,,,,,Residential                   ,,0,0,,,Vacant,4/23/15 00:00,Home Vacant as of 4/23/15 owner deceased,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372E00224000000,816
11999,0371M00292000000,Single family                 ,0,0,2987,672,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371M00292000000,816
12000,0371P00128000000,Single family                 ,0,0,511,737,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371P00128000000,816
12001,0372E00264000000,Single family                 ,0,0,2698,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372E00264000000,816
12002,0372G00010000000,Single family                 ,0,0,3076,878,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372G00010000000,816
12003,0453M00058000000,Single family                 ,0,0,1989,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453M00058000000,953
12004,0372B00126000000,Single family                 ,0,0,931,301,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00126000000,816
12005,0298K00248000000,Single family                 ,0,0,2503,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0298K00248000000,816
12006,0373G00080000000,Single family                 ,1,0,4337,951,,,,,Residential                   ,Rental,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0373G00080000000,953
12007,0541N00274000000,Single family                 ,0,0,1871,939,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541N00274000000,953
12008,0541P00034000000,Single family                 ,0,0,1747,448,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541P00034000000,953
12009,0453S00008000000,Vacant land                   ,1,0,2657,26,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453S00008000000,953
12010,0454D00116000000,Single family                 ,0,0,3929,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454D00116000000,953
12011,0372A00228000000,Single family                 ,0,0,2103,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372A00228000000,816
12012,0372C00040000000,Single family                 ,0,0,3308,747,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372C00040000000,816
12013,0541P00064000000,Single family                 ,0,0,2510,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541P00064000000,953
12014,0454G00128000000,Vacant land                   ,1,0,4510,,,,,,Residential                   ,Rental,1,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0454G00128000000,953
12015,0371R00172000000,Single family                 ,0,0,3668,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371R00172000000,816
12016,0371R00116000000,Single family                 ,0,0,4221,391,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0371R00116000000,816
12017,0372B00086000000,Single family                 ,0,0,2338,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0372B00086000000,816
12018,0541P00196000000,Single family                 ,0,0,3265,939,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0541P00196000000,953
12019,0453J00110000000,Single family                 ,0,0,3793,,,,,,Residential                   ,,0,0,,,,,,,0,,0,,0,,http://www2.county.allegheny.pa.us/RealEstate/GeneralInfo.aspx?ParcelID=0453J00110000000,953
